timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:21:26.6261131+10:00,76, P0, 113.71, 2340, 9001, 6, 0, 1157
2026-09-01T19:21:27.2244691+10:00,75, P0, 58.63, 2340, 9001, 22, 1, 1364
2026-09-01T19:21:27.8318588+10:00,75, P0, 55.63, 2340, 9001, 38, 1, 5814
2026-09-01T19:21:28.4203716+10:00,75, P0, 56.76, 2340, 9001, 35, 1, 5814
2026-09-01T19:21:29.0607188+10:00,82, P0, 88.30, 1890, 9001, 99, 28, 10808
2026-09-01T19:21:29.6359085+10:00,83, P0, 142.85, 1875, 9001, 99, 27, 10808
2026-09-01T19:21:30.2261554+10:00,83, P0, 174.65, 1860, 9001, 100, 25, 10808
2026-09-01T19:21:30.8267018+10:00,84, P0, 175.31, 1845, 9001, 99, 25, 10808
2026-09-01T19:21:31.4506655+10:00,84, P0, 175.08, 1830, 9001, 99, 24, 10808
2026-09-01T19:21:32.0869441+10:00,84, P0, 174.62, 1860, 9001, 99, 24, 10803
2026-09-01T19:21:32.7408733+10:00,85, P0, 174.85, 1845, 9001, 99, 26, 10808
2026-09-01T19:21:33.3482921+10:00,84, P0, 174.78, 1800, 9001, 99, 29, 10808
2026-09-01T19:21:33.9427796+10:00,84, P0, 175.00, 1770, 9001, 100, 37, 10808
2026-09-01T19:21:34.5313430+10:00,85, P0, 174.83, 1770, 9001, 100, 46, 10808
2026-09-01T19:21:35.1716649+10:00,84, P0, 174.65, 1725, 9001, 99, 51, 10808
2026-09-01T19:21:35.7933502+10:00,85, P0, 174.43, 1755, 9001, 100, 54, 10803
2026-09-01T19:21:36.4005789+10:00,85, P0, 174.68, 1740, 9001, 99, 54, 10803
2026-09-01T19:21:36.9927319+10:00,85, P0, 174.68, 1740, 9001, 100, 61, 10808
2026-09-01T19:21:37.5954324+10:00,85, P0, 174.55, 1710, 9001, 100, 62, 10808
2026-09-01T19:21:38.2157947+10:00,85, P0, 174.51, 1740, 9001, 100, 65, 10808
2026-09-01T19:21:38.8237443+10:00,85, P0, 174.55, 1710, 9001, 100, 68, 10808
2026-09-01T19:21:39.4576577+10:00,85, P0, 174.98, 1725, 9001, 99, 70, 10808
2026-09-01T19:21:40.0761069+10:00,86, P0, 174.71, 1725, 9001, 100, 72, 10808
2026-09-01T19:21:40.7137067+10:00,86, P0, 174.26, 1710, 9001, 100, 74, 10808
2026-09-01T19:21:41.3205711+10:00,80, P0, 129.80, 2340, 9001, 6, 0, 10808
2026-09-01T19:21:41.9257535+10:00,79, P0, 76.61, 2340, 9001, 6, 0, 10814
2026-09-01T19:21:42.5309256+10:00,84, P0, 125.55, 1935, 9001, 98, 100, 10814
2026-09-01T19:21:43.1507549+10:00,84, P0, 176.85, 1800, 9001, 98, 100, 10814
2026-09-01T19:21:43.7678886+10:00,84, P0, 174.60, 1890, 9001, 98, 100, 10809
2026-09-01T19:21:44.3749366+10:00,85, P0, 174.26, 1815, 9001, 98, 100, 10809
2026-09-01T19:21:45.0080701+10:00,80, P0, 132.81, 2340, 9001, 6, 0, 1396
