timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:14:09.3924111+10:00,78, P0, 141.51, 2100, 9001, 3, 0, 1010
2026-09-01T19:14:09.9832420+10:00,76, P0, 48.46, 2100, 9001, 4, 0, 1217
2026-09-01T19:14:10.5556395+10:00,77, P0, 52.12, 2340, 9001, 34, 1, 5681
2026-09-01T19:14:11.1314976+10:00,76, P0, 56.09, 2340, 9001, 27, 1, 5681
2026-09-01T19:14:11.7115564+10:00,76, P0, 66.56, 1860, 9001, 68, 30, 8364
2026-09-01T19:14:12.2824578+10:00,84, P0, 119.73, 1800, 9001, 100, 26, 8363
2026-09-01T19:14:12.8584232+10:00,85, P0, 173.15, 1770, 9001, 100, 25, 8342
2026-09-01T19:14:13.4515413+10:00,85, P0, 174.34, 1800, 9001, 100, 25, 8342
2026-09-01T19:14:14.0450480+10:00,85, P0, 174.80, 1740, 9001, 100, 24, 8342
2026-09-01T19:14:14.6206426+10:00,85, P0, 174.18, 1725, 9001, 100, 24, 8342
2026-09-01T19:14:15.2154581+10:00,85, P0, 174.88, 1740, 9001, 100, 26, 8342
2026-09-01T19:14:15.8190262+10:00,86, P0, 174.37, 1680, 9001, 100, 31, 8343
2026-09-01T19:14:16.3955181+10:00,79, P0, 128.42, 2340, 9001, 53, 2, 8343
2026-09-01T19:14:17.0014695+10:00,83, P0, 154.50, 1755, 9001, 98, 100, 8343
2026-09-01T19:14:17.6052873+10:00,83, P0, 174.53, 1845, 9001, 98, 100, 8343
2026-09-01T19:14:18.1793333+10:00,84, P0, 174.39, 1800, 9001, 98, 100, 1229
