timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:29:41.4618337+10:00,73, P0, 94.29, 2265, 9001, 6, 0, 976
2026-09-01T19:29:42.0600263+10:00,72, P0, 49.77, 2265, 9001, 6, 0, 1184
2026-09-01T19:29:42.6528457+10:00,72, P0, 49.60, 2040, 9001, 88, 10, 5634
2026-09-01T19:29:43.3044395+10:00,72, P0, 50.87, 2340, 9001, 38, 1, 5639
2026-09-01T19:29:43.8897639+10:00,72, P0, 53.99, 2340, 9001, 37, 1, 8091
2026-09-01T19:29:44.4944983+10:00,72, P0, 59.02, 2340, 9001, 6, 0, 8102
2026-09-01T19:29:45.0980764+10:00,81, P0, 164.74, 1830, 9001, 100, 25, 8102
2026-09-01T19:29:45.7010888+10:00,81, P0, 174.66, 1905, 9001, 99, 25, 8096
2026-09-01T19:29:46.3037759+10:00,81, P0, 174.19, 1845, 9001, 100, 25, 8096
2026-09-01T19:29:46.9063651+10:00,80, P0, 174.63, 2085, 9001, 97, 97, 8096
2026-09-01T19:29:47.4973051+10:00,80, P0, 174.48, 2040, 9001, 97, 96, 8101
2026-09-01T19:29:48.1010190+10:00,80, P0, 174.51, 2040, 9001, 97, 97, 4392
