timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:26:45.9188249+10:00,73, P0, 141.35, 2355, 9001, 6, 0, 1155
2026-09-01T19:26:46.5106495+10:00,72, P0, 51.94, 2355, 9001, 6, 0, 1362
2026-09-01T19:26:47.1123443+10:00,72, P0, 52.96, 2355, 9001, 39, 1, 5813
2026-09-01T19:26:47.7044401+10:00,71, P0, 54.11, 2355, 9001, 36, 1, 5813
2026-09-01T19:26:48.3048419+10:00,71, P0, 54.43, 2355, 9001, 35, 1, 8269
2026-09-01T19:26:48.9108249+10:00,79, P0, 81.71, 1935, 9001, 99, 29, 8275
2026-09-01T19:26:49.5028432+10:00,80, P0, 138.31, 1920, 9001, 99, 27, 8275
2026-09-01T19:26:50.0920187+10:00,81, P0, 174.58, 1875, 9001, 100, 26, 8275
2026-09-01T19:26:50.6836310+10:00,81, P0, 174.70, 1860, 9001, 99, 23, 8275
2026-09-01T19:26:51.2867062+10:00,79, P0, 174.20, 2085, 9001, 96, 96, 8275
2026-09-01T19:26:51.8778306+10:00,79, P0, 174.57, 2010, 9001, 97, 95, 8275
2026-09-01T19:26:52.4645496+10:00,80, P0, 174.25, 2085, 9001, 98, 98, 1383
