timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:26:38.6702983+10:00,69, P0, 68.55, 2355, 9001, 6, 0, 1155
2026-09-01T19:26:39.2639236+10:00,69, P0, 50.23, 2355, 9001, 7, 1, 1363
2026-09-01T19:26:39.8681376+10:00,69, P0, 48.74, 2040, 9001, 6, 0, 5818
2026-09-01T19:26:40.4846664+10:00,69, P0, 49.36, 2355, 9001, 35, 1, 5813
2026-09-01T19:26:41.0746842+10:00,71, P0, 56.97, 2355, 9001, 38, 30, 7203
2026-09-01T19:26:41.6627316+10:00,77, P0, 110.20, 1965, 9001, 99, 29, 7203
2026-09-01T19:26:42.2690995+10:00,78, P0, 167.92, 1815, 9001, 99, 28, 7203
2026-09-01T19:26:42.8718118+10:00,79, P0, 175.15, 1875, 9001, 99, 27, 7203
2026-09-01T19:26:43.4733382+10:00,79, P0, 174.35, 1830, 9001, 99, 27, 7203
2026-09-01T19:26:44.0782369+10:00,78, P0, 174.73, 2010, 9001, 97, 85, 7197
2026-09-01T19:26:44.6846421+10:00,77, P0, 174.31, 2025, 9001, 97, 85, 7197
2026-09-01T19:26:45.2885684+10:00,78, P0, 174.77, 2010, 9001, 95, 83, 1396
