-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         4.14%      37.538ms         8.32%      75.509ms      32.547us     714.205ms        88.02%     719.637ms     310.188us          2320  
                   execute_context_0(0)_generation_4(4)         0.00%       0.000us         0.00%       0.000us       0.000us     354.115ms        43.64%     354.115ms      25.294ms            14  
                 execute_context_1(512)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     346.605ms        42.71%     346.605ms     346.605ms             1  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     251.475ms        30.99%     251.475ms       2.328ms           108  
                execute_context_3(1536)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     209.622ms        25.83%     209.622ms     209.622ms             1  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     198.731ms        24.49%     198.731ms     130.145us          1527  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     114.339ms        14.09%     114.339ms       1.059ms           108  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      61.319ms         7.56%      61.319ms       1.703ms            36  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      50.615ms         6.24%      50.615ms       1.406ms            36  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      35.474ms         4.37%      35.474ms      70.385us           504  
                                       _C::silu_and_mul         0.35%       3.149ms         0.85%       7.752ms      13.459us      28.626ms         3.53%      28.626ms      49.699us           576  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      28.626ms         3.53%      28.626ms      49.699us           576  
                                _vllm_fa2_C::varlen_fwd         1.62%      14.676ms         6.50%      58.927ms     102.303us      26.256ms         3.24%      28.463ms      49.415us           576  
                                 _C::fused_add_rms_norm         0.87%       7.851ms         2.21%      20.055ms      17.409us      16.416ms         2.02%      16.476ms      14.302us          1152  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      16.416ms         2.02%      16.416ms      14.250us          1152  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      12.855ms         1.58%      12.855ms      25.506us           504  
