-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         4.22%      31.782ms         8.86%      66.752ms      28.772us     592.860ms        89.16%     595.296ms     256.593us          2320  
                 execute_context_1(512)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     396.139ms        59.57%     396.139ms     396.139ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     360.721ms        54.25%     360.721ms      24.048ms            15  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     171.253ms        25.75%     171.253ms     105.712us          1620  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     162.073ms        24.37%     162.073ms       4.502ms            36  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     101.844ms        15.32%     101.844ms       1.414ms            72  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      83.625ms        12.58%      83.625ms     150.405us           556  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      73.947ms        11.12%      73.947ms       2.054ms            36  
                                       _C::silu_and_mul         0.42%       3.156ms         1.04%       7.798ms      13.539us      23.802ms         3.58%      23.812ms      41.340us           576  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      23.802ms         3.58%      23.802ms      41.324us           576  
                                _vllm_fa2_C::varlen_fwd         1.96%      14.796ms        10.74%      80.858ms     140.378us      20.930ms         3.15%      21.581ms      37.467us           576  
                                 _C::fused_add_rms_norm         1.03%       7.761ms         3.07%      23.118ms      20.068us      15.383ms         2.31%      15.394ms      13.363us          1152  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      15.383ms         2.31%      15.383ms      13.354us          1152  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      12.725ms         1.91%      12.725ms     353.473us            36  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       5.919ms         0.89%       5.919ms      10.962us           540  
                                           _C::rms_norm         0.81%       6.101ms         4.84%      36.412ms      31.174us       5.421ms         0.82%       5.429ms       4.648us          1168  
                                       cuLaunchKernelEx         0.02%     135.490us         0.02%     135.490us       8.468us       5.352ms         0.80%       5.352ms     334.472us            16  
