pid, process_name, used_gpu_memory [MiB]
27548, [Insufficient Permissions], [N/A]
34448, C:\Windows\System32\ShellHost.exe, [N/A]
12748, C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe, [N/A]
30416, C:\Windows\explorer.exe, [N/A]
28232, C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe, [N/A]
26556, C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe, [N/A]
34156, C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe, [N/A]
35676, C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe, [N/A]
18328, [Insufficient Permissions], [N/A]
14276, C:\Windows\System32\Microsoft-Edge-WebView\msedgewebview2.exe, [N/A]
19836, C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe, [N/A]
17236, C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26071.164.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe, [N/A]
12608, D:\Program Files\tencent\QQNT\QQ.exe, [N/A]
5468, C:\Program Files (x86)\Steam\bin\cef\cef.win64\steamwebhelper.exe, [N/A]
5144, C:\Users\Lunacia\AppData\Local\Programs\EasyBluetooth\current\EasyBluetooth.exe, [N/A]
14752, C:\Program Files\WindowsApps\OpenAI.Codex_26.901.6511.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe, [N/A]
